CLIENTNUM,Attrition_Flag,Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,BinnedFeature,OrdinalFeature
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,39,5,1,3,12691.0,777,11914.0,0.39299381807477185,1144,42,0.43753365643511044,0.061,1,0,0,0,Medium,Medium
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,44,6,1,2,8256.0,864,7392.0,0.4536355607889314,1291,33,1.0,0.105,1,0,0,0,Low,Medium
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,36,4,1,0,3418.0,0,3418.0,0.7636149543715043,1887,20,0.6281637049003771,0.0,1,0,0,0,Low,High
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,21,5,1,0,4716.0,0,4716.0,0.6402708272004709,816,28,0.6731287022078623,0.0,1,0,0,0,Low,Low
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,36,3,1,2,4010.0,1247,2763.0,0.4050632911392405,1088,24,0.22778675282714056,0.311,1,0,0,0,Low,Medium
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,36,5,2,0,22352.0,2517,19835.0,0.987636149543715,1350,24,0.31825525040387725,0.113,1,0,0,0,Medium,Low
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,36,6,3,3,11656.0,1677,9979.0,0.4486311451280542,1441,32,0.2374798061389338,0.14400000000000002,1,0,0,0,Low,Medium
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,36,3,6,0,11751.0,0,11751.0,1.0,1539,17,0.8750673128702209,0.0,1,0,0,0,Medium,High
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,48,5,2,2,2436.0,680,1756.0,0.3503090962614071,1570,29,0.1645126548196015,0.279,1,0,0,0,Low,High
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,36,6,2,3,30367.0,2362,28005.0,0.5027965852222549,1671,27,0.2501346257404416,0.078,1,0,0,0,High,Medium
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,56,2,2,3,3193.0,2517,676.0,0.5390050044156609,1336,30,0.3077544426494346,0.788,1,0,0,0,Low,High
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,42,5,2,0,20979.0,1800,19179.0,0.2667059169855755,1178,27,0.2501346257404416,0.08600000000000001,1,0,0,0,Medium,Medium
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,49,2,3,3,1438.3,0,1438.3,0.308213129231675,692,16,0.16155088852988694,0.0,1,0,0,0,Low,High
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,33,4,2,1,4470.0,680,3790.0,0.4733588460406241,931,18,0.42299407646742065,0.152,1,0,0,0,Low,Low
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,28,6,1,2,7768.0,1669,6099.0,0.2346187812775979,1051,22,0.22428648357565967,0.215,1,0,0,0,Low,Low
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,42,6,0,0,4785.0,1362,3423.0,0.21754489255225198,1045,38,0.2423263327948304,0.28500000000000003,1,0,0,0,Low,Medium
